core_d_nm,distance_nm,B_ASD_nT_per_sqrtHz
8.0,5.0,2.6255151456090693
8.1,5.0,2.7693428915314007
8.2,5.0,2.9208858391347112
8.3,5.0,3.0805980548250824
8.4,5.0,3.248963815893415
8.5,5.0,3.426499808638588
8.6,5.0,3.613757499579515
8.7,5.0,3.811325694417664
8.8,5.0,4.01983330073095
8.9,5.0,4.239952311824494
9.0,5.0,4.472401030746006
9.1,5.0,4.71794755520677
9.2,5.0,4.977413546048883
9.3,5.0,5.251678303981636
9.4,5.0,5.541683181593185
9.5,5.0,5.848436360148111
9.6,5.0,6.173018023428696
9.7,5.0,6.516585963892792
9.8,5.0,6.880381659730045
9.9,5.0,7.265736865030904
10.0,5.0,7.674080759271498
10.1,5.0,8.106947706696927
10.2,5.0,8.565985680996263
10.3,5.0,9.052965415945318
10.4,5.0,9.569790348496506
10.5,5.0,10.118507427168907
10.6,5.0,10.701318865591762
10.7,5.0,11.32059492874295
10.8,5.0,11.978887847864494
10.9,5.0,12.678946969303382
11.0,5.0,13.423735252693968
11.1,5.0,14.216447245050894
11.2,5.0,15.060528669568447
11.3,5.0,15.95969778131737
11.4,5.0,16.917968656692853
11.5,5.0,17.939676599503542
11.6,5.0,19.0295058641051
11.7,5.0,20.192519915087757
11.8,5.0,21.43419446382922
11.9,5.0,22.760453544831183
12.0,5.0,24.17770891926483
12.100000000000001,5.0,25.69290311964206
12.2,5.0,27.31355647806683
12.3,5.0,29.047818511133215
12.4,5.0,30.90452406720956
12.5,5.0,32.893254676503766
12.600000000000001,5.0,35.02440558077982
12.7,5.0,37.30925895761602
12.8,5.0,39.760063893238474
12.9,5.0,42.39012369760526
13.0,5.0,45.213891194694334
13.100000000000001,5.0,48.24707265864788
13.2,5.0,51.50674110094605
13.3,5.0,55.01145964295696
13.4,5.0,58.78141572921014
13.5,5.0,62.83856694588349
13.600000000000001,5.0,67.20679920150026
13.7,5.0,71.91209799660245
13.8,5.0,76.98273344840932
13.9,5.0,82.44945963531315
14.0,5.0,88.34572867215199
14.100000000000001,5.0,94.70791970500194
14.2,5.0,101.57558270458583
14.3,5.0,108.9916965166434
14.4,5.0,117.00294006690606
14.5,5.0,125.65997488285804
14.600000000000001,5.0,135.01773614264914
14.7,5.0,145.13572824453001
14.8,5.0,156.07831935163213
14.9,5.0,167.91502744340178
15.0,5.0,180.72078802753117
15.100000000000001,5.0,194.57619076340444
15.2,5.0,209.56766875166176
15.3,5.0,225.78762009857473
15.4,5.0,243.33443653892888
15.5,5.0,262.312408414315
15.600000000000001,5.0,282.8314692480237
15.7,5.0,305.0067367402853
15.8,5.0,328.95780059945935
15.9,5.0,354.80770182029323
16.0,5.0,382.68154370404875
16.1,5.0,412.70467332536856
16.200000000000003,5.0,445.0003749260569
16.3,5.0,479.6870258969163
16.4,5.0,516.8746839571643
16.5,5.0,556.6611033266422
16.6,5.0,599.1272202894502
16.700000000000003,5.0,644.3322058326121
16.8,5.0,692.3082544971721
16.9,5.0,743.0553608910833
17.0,5.0,796.5364213837573
17.1,5.0,852.673076826814
17.200000000000003,5.0,911.3427670440273
17.3,5.0,972.3774810283392
17.4,5.0,1035.5646406477224
17.5,5.0,1100.6504379835008
17.6,5.0,1167.345755820553
17.700000000000003,5.0,1235.3345511277728
17.8,5.0,1304.2843030377844
17.9,5.0,1373.857863473316
18.0,5.0,1443.725848539833
18.1,5.0,1513.57861346762
18.200000000000003,5.0,1583.136886053754
18.3,5.0,1652.1602903027986
18.4,5.0,1720.4532446817395
18.5,5.0,1787.8680212819074
18.6,5.0,1854.3050505205294
18.700000000000003,5.0,1919.7108050274458
18.8,5.0,1984.073766407117
18.9,5.0,2047.419059626027
19.0,5.0,2109.8023393356593
19.1,5.0,2171.3034497097296
19.200000000000003,5.0,2232.0202784005382
19.3,5.0,2292.0631090214506
19.4,5.0,2351.5496633773155
19.5,5.0,2410.6009264562076
19.6,5.0,2469.337769916523
