core_d_nm,distance_nm,B_NSD_nT_per_sqrtHz
5.0,5.0,0.4654949410832608
5.09375,5.0,0.49509846909283783
5.1875,5.0,0.5261664038952542
5.28125,5.0,0.5587623667423163
5.375,5.0,0.592953229011068
5.46875,5.0,0.6288093085630633
5.5625,5.0,0.6664045780559935
5.65625,5.0,0.7058168860271951
5.75,5.0,0.7471281916288319
5.84375,5.0,0.7904248139594803
5.9375,5.0,0.8357976970067592
6.03125,5.0,0.8833426912910655
6.125,5.0,0.9331608533817212
6.21875,5.0,0.9853587645445394
6.3125,5.0,1.040048869874385
6.40625,5.0,1.0973498393684453
6.5,5.0,1.1573869525061444
6.59375,5.0,1.2202925080207798
6.6875,5.0,1.2862062606765912
6.78125,5.0,1.3552758870041197
6.875,5.0,1.4276574820971126
6.96875,5.0,1.5035160897369104
7.0625,5.0,1.5830262682863143
7.15625,5.0,1.6663726949854796
7.25,5.0,1.7537508114886762
7.34375,5.0,1.8453675137042636
7.4375,5.0,1.9414418892423206
7.53125,5.0,2.0422060060368166
7.625,5.0,2.147905755993724
7.71875,5.0,2.258801757825048
7.8125,5.0,2.3751703235635517
7.90625,5.0,2.4973044936162307
8.0,5.0,2.6255151456090693
8.09375,5.0,2.760132182703867
8.1875,5.0,2.9015058075332654
8.28125,5.0,3.0500078884056663
8.375,5.0,3.206033424981247
8.46875,5.0,3.3700021212179223
8.5625,5.0,3.5423600740358596
8.65625,5.0,3.723581586856346
8.75,5.0,3.9141711179401275
8.84375,5.0,4.114665374288144
8.9375,5.0,4.325635562779535
9.03125,5.0,4.547689811215346
9.125,5.0,4.78147577301862
9.21875,5.0,5.027683430521254
9.3125,5.0,5.287048113053517
9.40625,5.0,5.560353747454232
9.5,5.0,5.848436360148111
9.59375,5.0,6.152187851604803
9.6875,5.0,6.472560065813138
9.78125,5.0,6.810569179389862
9.875,5.0,7.167300437108669
9.96875,5.0,7.543913263000977
10.0625,5.0,7.941646778761801
10.15625,5.0,8.36182576401362
10.25,5.0,8.80586709605935
10.34375,5.0,9.275286710117314
10.4375,5.0,9.771707124701337
10.53125,5.0,10.296865580817444
10.625,5.0,10.85262284802445
10.71875,5.0,11.44097275518347
10.8125,5.0,12.064052508935609
10.90625,5.0,12.724153868637819
11.0,5.0,13.423735252693968
11.09375,5.0,14.165434857987677
11.1875,5.0,14.9520848815008
11.28125,5.0,15.786726941237784
11.375,5.0,16.672628802323224
11.46875,5.0,17.613302523653054
11.5625,5.0,18.612524150814586
11.65625,5.0,19.67435509220548
11.75,5.0,20.803165327432644
11.84375,5.0,22.00365861021739
11.9375,5.0,23.280899842222432
12.03125,5.0,24.640344809499688
12.125,5.0,26.087872489670893
12.21875,5.0,27.629820155523326
12.3125,5.0,29.273021519433616
12.40625,5.0,31.024848182909327
12.5,5.0,32.893254676503766
12.59375,5.0,34.886827397320744
12.6875,5.0,37.01483777412341
12.78125,5.0,39.2873000134642
12.875,5.0,41.71503380392975
12.96875,5.0,44.30973237909181
13.0625,5.0,47.0840363624539
13.15625,5.0,50.051613838774465
13.25,5.0,53.22724711455604
13.34375,5.0,56.62692664483943
13.4375,5.0,60.2679526119472
13.53125,5.0,64.16904464222449
13.625,5.0,68.35046013624532
13.71875,5.0,72.83412166279174
13.8125,5.0,77.64375382263802
13.90625,5.0,82.8050299191674
14.0,5.0,88.34572867215199
14.09375,5.0,94.29590107008593
14.1875,5.0,100.68804726481073
14.28125,5.0,107.55730315711884
14.375,5.0,114.94163598828611
14.46875,5.0,122.88204782179692
14.5625,5.0,131.4227852503623
14.65625,5.0,140.61155297054165
14.75,5.0,150.4997280020539
14.84375,5.0,161.1425702587731
14.9375,5.0,172.5994238680018
15.03125,5.0,184.93390204653105
15.125,5.0,198.2140464390733
15.21875,5.0,212.51244957328765
15.3125,5.0,227.90632646101733
15.40625,5.0,244.47751836913417
15.5,5.0,262.312408414315
15.59375,5.0,281.50172496461516
15.6875,5.0,302.14020497820127
15.78125,5.0,324.3260855816983
15.875,5.0,348.16038870591115
15.96875,5.0,373.74596091711277
16.0625,5.0,401.1862293433977
16.15625,5.0,430.58363562989734
16.25,5.0,462.0377141976725
16.34375,5.0,495.64278993707217
16.4375,5.0,531.4852851409314
16.53125,5.0,569.6406472224785
16.625,5.0,610.169938509174
16.71875,5.0,653.1161674429161
16.8125,5.0,698.500486034515
16.90625,5.0,746.3184290149275
17.0,5.0,796.5364213837573
17.09375,5.0,849.0888263489602
17.1875,5.0,903.875836364839
17.28125,5.0,960.76251636108
17.375,5.0,1019.579281035728
17.46875,5.0,1080.124020706407
17.5625,5.0,1142.1659813906524
17.65625,5.0,1205.451360645774
17.75,5.0,1269.7104156838075
17.84375,5.0,1334.665716047598
17.9375,5.0,1400.0410351905202
18.03125,5.0,1465.5702878117015
18.125,5.0,1531.005899891628
18.21875,5.0,1596.1260516272985
18.3125,5.0,1660.7403521099616
18.40625,5.0,1724.693669127505
18.5,5.0,1787.8680212819074
18.59375,5.0,1850.1826150334462
18.6875,5.0,1911.5922533799928
18.78125,5.0,1972.0844412885524
18.875,5.0,2031.6755611681947
18.96875,5.0,2090.4064936959167
19.0625,5.0,2148.3380251653593
19.15625,5.0,2205.546324870256
19.25,5.0,2262.1187073326273
19.34375,5.0,2318.149824799815
