PLE[][0]	PLE[][1]	PLE[][2]	PLE[][3]	PLE[][4]	PLE[][5]	PLE[][6]	PLE[][7]	PLE[][8]	PLE[][9]	PLE[][10]	PLE[][11]	PLE[][12]	PLE[][13]	PLE[][14]	PLE[][15]	PLE[][16]	PLE[][17]	PLE[][18]	PLE[][19]	PLE[][20]	PLE[][21]	PLE[][22]	PLE[][23]	PLE[][24]	PLE[][25]	PLE[][26]	PLE[][27]	PLE[][28]	PLE[][29]
0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
47	93	55	37	60	64	80	79	109	95	100	89	66	35	72	71	76	79	78	40	48	75	35	54	86	65	55	90	77	35
65.6667	73	51	49	63.6667	56	53.3333	65.3333	91	67	98.6667	54	70.3333	58.6667	66	56	56	61.3333	73.6667	50.6667	60.3333	62	36.3333	52	54	67.3333	66	93	55.3333	60.3333
55.2	66.6	45.8	46	55.6	55.4	54.8	43.8	79.2	66	98	53.2	66.2	47.8	63.8	49.2	58.8	55.6	61.8	54.8	55.6	50.6	43.8	51.4	48	62.8	64.2	80.6	54.2	64.8
56.6	61.2	46.4	49	51.4	58.2	49.2	43.4	72.2	58.2	91.6	44.4	71.2	47.8	62.2	40	57.8	53.4	54.2	59	57.6	41.2	49	55.2	45	63.4	66.2	69.8	43.6	69.4
55	66.8	47.4	46.4	51.4	62.2	48	45.6	68.6	61.2	84.2	42.6	79.8	41.6	63.2	37.4	61.4	54.4	51.2	59.2	53.6	43	47.4	55.2	50	55.6	58.2	62.8	40	61.6
50.4	63.8	53	41.6	50.8	60.8	59	41	67	63.8	84.4	51.6	76.6	46.4	64	38.2	59	50.2	48.2	60.8	48.6	37.6	52.2	67.2	53.4	53.4	59.8	53	49.8	65.6
58.2	70.4	54.4	45	49	60.2	53.2	51.8	71.2	59.2	82.6	41.8	81.2	50.8	67.4	39.2	54	50.8	46.8	54.2	53	42.8	55	60	55.6	49	57	48.4	49.2	66.8
55.4	67.8	50.4	38	55.4	63.2	56.4	63.6	70.8	59.8	74.6	45.6	85.6	60.8	71	37.4	55.6	43	41.2	52	50.8	46	51.2	65.8	55.8	50.8	57	48.6	49.8	66.8
58.6	70.2	56.4	30.2	56.8	59	53.4	59	75.4	66.6	78.4	39	80.6	63.8	70.4	48	42.6	44.4	44.4	49.6	51.8	48.2	52.4	62	58	43.2	56.2	49.6	58.4	71
53.2	74	57.2	26.8	52.8	57.2	45	60	83.2	67.6	81.4	42.8	71.8	66.8	70.2	56	43.8	38.8	32.6	46.4	46.4	47	53	66	56.8	44.8	57.6	51.8	65.2	72.8
55.2	72.8	53.8	33.8	55.8	53.6	45.8	60.6	78.8	68	79.8	44.2	75.6	51.6	67	51.6	52.8	47	32.8	40.6	55	46.2	54.6	50.6	55.2	46.8	62.8	49	62.8	67.6
55.8	73.2	58.4	30	60.2	51	47.6	50.8	83.4	60.2	87.8	52.8	56.8	49	58.4	55.6	58.4	48.6	41	47.6	55.2	46.2	52.4	56.4	55.8	45.6	64	53.8	69.6	58.8
57.2	68.8	56.4	34.4	60.6	51.6	46	51.6	71.6	60.8	93	49.2	53.4	51.6	51.8	63.4	62.8	51.4	43.2	46.4	54.8	45.6	54	56	62.4	47.6	65.2	60.4	65.2	61
51.6	61	48.2	36.6	64.6	54.4	51	49.8	66.2	60.8	93.2	53	54.8	50.8	51.2	58.6	81.8	40.8	43.4	50.2	53.2	42.8	49.2	57.4	57.6	49.4	63	65.4	54.8	58.6
50.4	55.4	44.2	35	61	50	55.8	44.4	61	57.4	90.2	49.8	57.8	51.2	42.8	49.4	75.8	46.2	53.4	52.6	62	42.4	45.2	56.8	54.6	39	58.4	63.2	46.8	55.8
57.2	61.2	45	32.4	58.8	59.6	55.8	43.8	64.8	56.4	84.4	50.8	53	57.2	43.2	44.6	77.8	45.8	57.4	61	54	47.2	46.6	63.6	58	40.6	53.8	75.6	50.4	58.2
63.8	62	50.2	30.4	57.6	66	52	49.6	57.2	57.6	75.4	54.8	70.4	54.2	55.8	42	78.4	43	51.2	55	56.2	39.6	53.6	62.2	58.2	40.2	52.6	78	52.8	63.8
68	63	59.6	31.6	58	66.4	55.8	52	72.4	63.8	79.4	57	76.8	53	57	39.4	75.2	50.6	60.2	65.6	53.8	39.4	50.2	56	53.2	38.2	54.6	72.8	52.4	68
69.6	63.8	51.6	35.6	57.2	59	56.6	52.2	70.6	60.4	78	64.2	75.2	56	61.2	38.4	67.2	58.4	62.8	61.2	50	46	48.8	52	52.4	42.2	52.6	71	57.4	70
71.6	68.4	59.8	41	66	69	62.4	59.4	68.2	67.6	85.6	63.2	79.6	62	72.4	41.6	85	57.8	61	62.4	49.6	46.8	55.8	51.4	63.4	50.6	60.2	78.6	62.2	78.4
71.2	67.2	60	44	69.8	64.6	59.4	60.8	70.8	66.8	91.2	53.4	78	66.6	69.4	48.6	75.2	44.6	58	54.2	51.6	46.2	54	54.2	62.6	52.6	63.6	68.4	52.6	72
70.2	60	63.8	54.6	73.4	65.6	67.4	62.6	72.2	71.8	102.4	45.8	81.2	69	57	50.4	78.6	48.8	68.2	48.2	53	52.8	41.8	59.8	55.6	63	63.4	67.8	53.2	78.6
65	65.8	60.6	57.8	66.6	66	79.4	55.8	67.6	69.2	97.6	48.4	80.4	63	60	51.6	75.8	47.6	63.2	37.4	53.6	53.4	48.8	63.6	57.8	60.6	62.4	64.8	59	75.2
73.6	69.6	73.2	55.4	70.6	67.8	75.8	54.6	68.4	65	99.2	46.4	80.2	61.6	48	53.6	81.2	45.2	62.6	43	60.6	61.2	51.4	70.6	63	60.6	63	67	55.6	70.4
76.2	63.8	69.8	51.2	71.6	68.6	71.4	49.6	72.6	60.2	90.6	48.2	78.2	63.2	45.6	54	71	48.8	66.8	44.6	59.8	64.6	52.6	73.2	56.4	63.2	54	57	55.6	70
69.8	62	74.4	51.4	67	62.8	67.8	53.2	72.6	54.2	91.2	55.6	78.8	55	47	52.8	76.2	59.2	64.6	39.6	68	66.4	57.4	65.6	58.2	67.6	53.4	63	58.6	77.8
68	60.8	65.8	48.2	65.8	57.8	66.6	58.2	73	56	85.6	62.4	72.8	57	53.8	51	71	63	59.2	47	68.6	57.4	53.4	68.4	59.2	66.6	51.8	51.6	55	71
68.8	64.8	63	45	76.8	63.4	62.6	55.6	80.2	55.2	90.8	63.2	66.2	59.4	50.4	47.4	77.4	64.4	60.2	52.6	65.6	57.2	53.2	68.4	59.4	65.6	51.2	59	50.8	62.8
59.6	67.4	65.2	42.4	65.2	71.6	60	65	85.8	53.2	90	55.6	64.4	57.8	57.4	37.6	67.6	59.6	63	44.8	61.2	46.8	52.8	63.4	48	61.8	56.8	60.4	51.2	62
58.2	63.8	65	38.2	52.6	69.4	61.6	62.6	83.8	55.6	91.2	55	57.2	44.6	51.4	39.2	62	51.8	57.2	43.8	61	41.2	46	60	40.8	58.2	52	67	48.8	55.2
59.2	67.8	61	41.4	54.2	78.2	72	66	93	67.6	93.2	54.8	63.4	48.8	61.8	39.6	67.4	49.8	58.2	56	52.2	41.4	45.2	77.4	37.8	57.6	53.2	55.8	48.8	61.4
51.4	72.6	61.2	37.4	59.4	78.4	67.8	54	92.8	65.6	89.4	58.2	57.8	47.4	57.4	41.6	72.8	45.6	52.8	55.4	54.2	47.4	51.6	66.6	49.2	54.8	50.8	64.8	49.6	55.2
56.6	65.8	64.4	36.2	46.8	71	56.8	58.2	86.4	65.8	85.8	44.8	64.8	46.4	63.2	43.8	67.8	45.2	48.6	50.2	55.2	47.6	49	65	46.2	47.6	53.2	55	52	64
62	61	62.8	33.6	55.4	69.8	57.8	58	88.4	66.6	91.2	64.2	71.4	50.2	58	54.6	75.2	49.2	44.8	58.2	56.6	51	48	73	55	48.2	48.6	50.8	53.2	68
63.2	65.2	65.6	36.8	62	69	56.6	64	85	62.8	92.8	58	77.8	58.6	53	57.2	74.8	48	46.8	54.4	54.8	53	50	69.2	61.4	51.6	45	49	49.6	63
63.6	58	61.4	34.4	63.2	70.8	50.8	63.4	72.4	55.2	93.8	60.4	74.4	55.8	42.4	57.6	70.6	55.6	46	49.2	55.6	55.8	46.6	55	64.6	46	44.8	59.4	50.6	56
63.4	57.2	58	36.8	56	71	51.4	70.2	71.6	60	97.6	54.2	77	52.4	41.4	58.2	66.6	56.4	54.4	51.4	51.4	52.2	48	54.4	59	39.6	45.6	56	45.6	66.4
60.6	52.4	58	33.4	61.4	73	52.4	77.4	76	56.4	93.2	61.8	78.4	55.4	38.8	55.4	67.4	49.2	59.6	49.2	53.4	52.8	43.4	59	64.6	48.4	41.6	62	41.6	67.2
53.8	54.4	46.2	40.6	66.6	67.4	54.6	68.6	68.8	53.8	89.8	43.2	67	51.2	37.4	52.8	66.2	50	59.2	48.6	58.4	45.6	41.4	44.6	60.8	48.6	36.4	64.4	43.6	66.8
53	55.6	41.6	43.2	75.2	67.4	61	68.2	73	55.2	91.4	54.4	70	51	48.8	53.2	77.6	56.6	56	49.6	60	48.8	42.2	57.4	69	48.8	43.4	65.8	46	78.2
44.4	43.6	41.8	35	65	58	54.4	57.8	66.6	56	71.8	48.2	69.8	44.2	45	43.6	71	47.8	47	49	59.4	35	33.6	55	58.4	41.4	40.2	54.8	38.6	65.6
53.6	42.8	44.2	30	68	58.6	57.8	51	68.4	52	74.4	51.4	73.2	53	47.8	45.8	69	49.8	41.4	54.4	62	44.6	39.4	62	59.8	47.4	46.4	56.8	44.6	56.4
42.6	45.6	40.4	37.2	63.4	50	56.4	42	60.8	51.4	73.8	48.2	64	58.6	45.4	42.6	70.4	47.6	35	52	63.6	39.6	46.6	56.6	54.2	44.4	47	56.8	42.8	45.2
39.8	43.6	45.6	36.8	54	53.8	62	43.2	60.6	58	73.8	55.4	72.4	54.2	56.8	39.2	61.4	38.4	33.8	55.8	59	38	46.8	61.4	57.2	39.6	53.6	55.6	48.4	44.8
49.2	45	50.4	37	50.6	51.8	51.4	47	60.6	61.8	77	52.6	67.6	54.8	54.6	36.8	51.6	42.2	35.8	64.8	57	31	44.4	54	55	39.4	56	53	50.4	42.4
48.8	55.2	57.6	40	51.8	54.2	58.4	46.2	69.2	55.6	91.2	53.4	63.2	60.2	59.4	44.6	51.4	49.4	42.8	66.4	62.8	33	52.8	56.6	62.6	48.6	59.6	52.6	52.4	41.2
49.8	61.4	68	48.6	49.8	58.4	59.4	57.8	67.4	52.6	84.8	45.2	60.8	51.6	67	47	60.6	54.6	46.4	65	57.6	32.8	50	63.8	65.8	48.2	64.8	53.6	48.4	48.6
59.4	60.2	58.8	42.4	53.2	63	64.8	57.8	71	47.2	78.8	45.4	63	50.2	63	45.4	59.8	58	48	66.2	54.2	33.8	48.6	59	74.6	55.8	66	56.4	46.6	56.8
60	62	59.2	42	55.2	58.6	62.2	58.4	73.2	41.6	74.4	42.4	62.4	56.2	52.8	45	65.2	64	43.6	62	52.6	37.6	43.6	55.4	66.6	65.6	65.6	56.6	41.6	55.8
49.2	55.4	49.8	41.4	46.8	59	55.2	51.2	68.8	32.4	75.4	37	58.8	53.8	49.2	44.6	66.8	57.4	45.8	57.4	49.4	33.6	42.8	48.2	59	61.2	71.8	54.6	39.2	55.6
51.6	61.6	45.2	36.6	52.6	48.6	58.2	58	64.8	31	78.8	35.2	62	52.2	52	45.6	75.2	51.2	48	50.8	41.4	39.6	46	53.4	59	65.2	67	60.8	44	66.8
46.6	57	34.2	28.8	55.4	44	57.2	50.8	62.8	30.8	74.8	38.6	63.2	58.8	47.6	35.4	67.8	46	42.8	39.8	42.8	37.8	41.4	51.4	49.6	68.2	60.8	55.2	46.2	57
47.2	59.2	47.6	37.4	56.8	40.4	56.6	50.8	64.8	36.4	80.8	42.6	64.8	54.2	47.6	39.6	68.2	46.4	44.2	43	41.8	44.4	41.8	56.4	39.4	66.2	66	50.2	49.4	54.8
54.2	63.4	40.6	40	55	41.4	54.4	49.6	68.8	36	80	43	61.6	61.8	59	48.2	64.8	51.8	54.6	39.4	44.2	48	44	63.8	43.6	58.8	72.6	52	52.6	55
59.6	67	44.4	40.8	62	39	66.6	54.4	69	38.6	69.4	50	66.6	69.8	64.8	45.2	67.8	57	54.4	34	43.8	53.4	44.4	67.2	46	61.2	63.4	53	52	55.4
64.8	67.6	44.4	43.4	62.6	49.4	63.2	51.4	70	45.4	64	49.8	65.2	77.8	58.6	38.8	72.8	59	57.2	46	44	57.2	43.8	62.8	41	57.8	65.2	56.4	49	55.4
59	73.2	44.8	38.6	53.4	50.8	56.4	47.8	70.2	50.6	68.6	51.2	64.4	68.4	57	43	67.2	52.8	52.4	54.8	41.8	52.6	37	50	41.6	55.2	60.4	63.2	39.8	62
62.6	69.8	40	41	53.8	52	59.4	52.8	67	55.4	78.2	51.2	66.8	71	58.2	42.2	66.8	56.4	52.8	60.4	42.8	51.6	30.6	53.8	41.2	53.6	54.8	57.8	42.6	58.8
61.2	65.2	49	33.2	49.4	52.8	55	56	61.8	61.8	79.4	53.6	70.4	61.4	48	30.8	65	51.6	47.6	62.8	42.4	48.8	39.6	54.4	40.6	59.6	50.6	50.4	40	56.4
66.2	64.8	55.2	32	44.4	59.8	59.6	53	62	60.8	86.2	50	70.8	56.2	45.6	33.6	64.4	51.2	48.4	64.2	52.2	52.4	41.8	52	40	60.8	62.6	44.8	41.8	59.8
72.8	54.4	50	36.8	42.2	63	61	51.8	61.2	59.4	93.4	50.8	72.2	60.4	49.2	35	53.6	48.8	47	64.4	48.4	52.6	37.4	46.4	46.4	61.4	60.2	40.6	44	56.4
75.4	50.4	56.4	36.8	40.6	60.6	63	51.6	66	56.4	87.6	46.2	72.2	62	48.4	30.8	55.2	57	51.8	50.4	54	58.4	40.4	51	51.4	61.8	62.8	39.2	48	51.8
70.2	51.6	56.2	38.8	39.6	64	54.2	45.2	69.6	56.2	83.6	44	72.8	57.4	48.2	32.2	49	51	55.4	54.6	52.2	46.6	42.2	50	52.2	59	70	49	44	50.4
72.4	54.2	57.4	50.8	45	66.4	68	47	66.6	48.8	88.6	42.6	71.4	65.2	59.8	39.6	61.4	56.4	57	53.4	45.2	54.4	42.4	47.2	60.6	58.4	71.8	57.6	38.8	56.2
65.8	61.4	50.4	54.4	53.4	56.8	65.4	47.8	70	55.6	84.4	44.2	75.4	62.8	56.6	35.2	53.6	54.6	57	54	39.6	55.4	36.8	50.2	56.6	56.8	67.6	63.8	34.2	43.2
61.4	65.4	53.2	56.4	55	56.6	62.4	50.6	70.8	55	84.4	45.4	67.2	52.8	62.6	42.8	54.6	59	52.4	46	43.4	54.4	40.4	59.2	51.8	43.8	63.6	68.4	35	47.8
68.4	63.6	46	62.6	63.8	58.2	62.2	51.8	63.8	58.8	87	52.4	67.8	56.8	64.8	45.2	56	52.8	50	58	37.4	50.4	46	57.8	55.8	47.4	66.6	61.2	37.4	57.2
69	67	49	48.8	64	61.2	76.2	58.8	64.4	56.2	87	58.2	66.6	55.4	64	45.2	63.4	63.2	49	54	48	54.4	47.6	49.2	56.2	44.6	58	47.6	36.8	61.4
