NV Index, Optimal Step Value, Max Combined Score
0, 1.020000, 0.987175
1, 1.040000, 0.753561
2, 0.920000, 0.934539
3, 0.980000, 0.766725
4, 1.040000, 0.947895
5, 1.040000, 0.978995
6, 0.920000, 1.000000
7, 1.060000, 1.000000
8, 0.980000, 0.729640
9, 1.040000, 0.761459
10, 0.960000, 0.643732
11, 0.900000, 0.801587
12, 0.960000, 0.844688
13, 1.000000, 0.757569
14, 0.940000, 0.713550
15, 0.980000, 0.950598
16, 1.040000, 0.874996
17, 1.000000, 0.705420
18, 1.020000, 0.849976
19, 0.980000, 0.732819
20, 0.900000, 0.930319
21, 0.980000, 0.852813
22, 1.060000, 0.950023
23, 0.940000, 1.000000
24, 1.020000, 0.976043
25, 1.020000, 0.717978
26, 1.020000, 0.927943
27, 1.020000, 0.683915
28, 0.940000, 0.979587
29, 1.000000, 0.899662
30, 1.080000, 0.798011
31, 0.980000, 0.975199
32, 1.100000, 1.000000
33, 1.080000, 0.996980
34, 0.960000, 0.873744
35, 1.020000, 0.900174
36, 0.920000, 0.847504
37, 1.100000, 0.772291
38, 1.080000, 1.000000
39, 1.060000, 0.949231
40, 1.040000, 1.000000
41, 1.000000, 0.878242
42, 1.060000, 0.836319
43, 1.000000, 0.830633
44, 1.000000, 0.889043
45, 1.100000, 0.914012
46, 0.980000, 1.000000
47, 0.980000, 1.000000
48, 1.080000, 0.896676
49, 1.080000, 0.851627
50, 1.000000, 0.915810
51, 0.960000, 0.833250
52, 0.920000, 0.688437
53, 1.080000, 0.827747
54, 0.960000, 0.779512
55, 1.080000, 0.857032
56, 0.980000, 0.851084
57, 0.940000, 0.985381
58, 1.040000, 0.947514
59, 1.080000, 0.967596
60, 0.960000, 0.800146
61, 0.960000, 0.744868
62, 0.960000, 0.993734
63, 1.040000, 0.776291
64, 1.000000, 0.817222
65, 1.020000, 0.980593
66, 0.960000, 0.794026
67, 1.040000, 0.987269
68, 1.080000, 0.745884
69, 1.060000, 0.927212
70, 0.940000, 0.809089
71, 1.000000, 0.996160
72, 0.940000, 0.965253
73, 1.020000, 0.894870
74, 1.080000, 0.914992
75, 1.100000, 0.973511
76, 0.960000, 0.785485
77, 1.100000, 0.949006
78, 0.920000, 0.871662
79, 1.060000, 0.950358
80, 0.900000, 0.657061
81, 1.020000, 0.954673
82, 1.060000, 0.828088
83, 0.960000, 0.895641
84, 1.100000, 0.988551
85, 0.900000, 0.824586
86, 1.020000, 0.716996
87, 1.000000, 0.850126
88, 0.960000, 0.809244
89, 0.940000, 0.928354
90, 1.100000, 0.939932
91, 0.980000, 0.887612
92, 1.100000, 0.864994
93, 0.900000, 0.827399
94, 1.000000, 1.000000
95, 1.060000, 0.650399
96, 1.060000, 0.869947
97, 1.100000, 0.926657
98, 1.080000, 0.777372
99, 0.980000, 1.000000
100, 1.020000, 0.920865
101, 1.100000, 0.876585
102, 1.080000, 0.976038
103, 0.980000, 0.819738
104, 1.000000, 1.000000
105, 1.100000, 0.918863
106, 1.080000, 0.869069
107, 0.940000, 0.979497
108, 1.060000, 1.000000
109, 0.980000, 0.886799
110, 0.960000, 0.922425
111, 1.020000, 0.935570
112, 1.040000, 1.000000
113, 1.020000, 0.743060
114, 1.060000, 0.901091
115, 0.900000, 0.826635
116, 1.020000, 0.964630
117, 1.060000, 0.819330
118, 0.940000, 0.823064
119, 1.060000, 0.759925
120, 1.080000, 0.753892
121, 0.920000, 0.866261
122, 1.100000, 0.764615
123, 1.020000, 0.948430
124, 1.000000, 0.977844
125, 1.040000, 0.789130
126, 0.960000, 0.849093
127, 1.020000, 0.974402
128, 1.040000, 0.956498
129, 1.020000, 0.889975
130, 0.920000, 1.000000
131, 1.080000, 0.954681
132, 1.060000, 0.791131
133, 1.100000, 0.935207
134, 1.020000, 0.838718
135, 1.000000, 0.698718
136, 1.080000, 0.891270
137, 1.040000, 0.983940
138, 1.000000, 0.772900
139, 0.920000, 0.926721
140, 1.020000, 0.884320
141, 0.960000, 0.920406
142, 1.060000, 0.987058
143, 0.940000, 0.927490
144, 0.940000, 0.856666
145, 0.980000, 0.797131
146, 0.980000, 0.750392
147, 1.080000, 0.841296
148, 1.080000, 0.628210
149, 1.000000, 0.796691
150, 0.960000, 0.971158
151, 0.980000, 0.918396
152, 1.040000, 0.732234
153, 0.980000, 0.730920
154, 1.080000, 0.886008
155, 1.060000, 0.908387
156, 0.960000, 0.758225
157, 1.060000, 0.983645
158, 0.960000, 0.793118
159, 1.080000, 0.880642
