NV Index, Max Separation, Step Val (Separation), Min chi_squared, Step Val (chi_squared)
0, 6.128953, 1.160000, 0.000400, 1.200000
1, 8.675313, 1.060000, 0.000350, 1.200000
2, 8.878261, 1.000000, 0.000394, 1.100000
3, 9.300904, 1.080000, 0.000434, 1.200000
4, 2.316645, 0.940000, 0.000405, 0.860000
5, 6.271191, 1.200000, 0.000454, 0.940000
6, 9.914044, 1.140000, 0.000392, 1.200000
7, 2.657161, 1.200000, 0.000297, 1.120000
8, 10.191756, 1.020000, 0.000544, 1.120000
9, 4.781957, 1.120000, 0.000302, 1.180000
10, 9.102862, 1.000000, 0.000401, 1.160000
11, 12.290670, 1.040000, 0.000364, 1.140000
12, 10.149527, 1.020000, 0.000495, 1.180000
13, 4.561771, 1.080000, 0.000382, 1.200000
14, 7.900217, 1.080000, 0.000307, 1.180000
15, 7.437194, 1.040000, 0.000669, 1.160000
16, 8.829807, 1.100000, 0.000328, 1.200000
17, 7.510002, 1.160000, 0.000447, 1.180000
18, 8.411227, 1.080000, 0.000273, 1.180000
19, 3.369627, 1.200000, 0.000250, 0.820000
20, 8.891097, 1.060000, 0.000538, 1.200000
21, 10.660405, 1.080000, 0.000359, 1.180000
22, 12.008248, 1.040000, 0.000519, 1.120000
23, 5.446004, 1.100000, 0.000398, 1.180000
24, 3.865735, 1.080000, 0.000290, 1.200000
25, 10.685230, 1.000000, 0.000521, 1.120000
26, 8.132990, 1.160000, 0.000337, 1.160000
27, 1.989690, 1.200000, 0.000299, 1.020000
28, 6.955283, 0.960000, 0.000423, 1.060000
29, 7.532845, 1.160000, 0.000486, 1.200000
30, 3.694088, 1.060000, 0.000316, 1.120000
31, 4.092005, 1.160000, 0.000405, 1.160000
32, 6.297560, 1.100000, 0.000369, 1.160000
33, 3.355644, 1.200000, 0.000303, 0.980000
34, 7.690020, 1.180000, 0.000383, 1.200000
35, 11.795584, 1.120000, 0.000358, 1.200000
36, 10.539154, 1.020000, 0.000494, 1.100000
37, 11.555242, 1.020000, 0.000743, 1.120000
38, 11.670004, 1.060000, 0.000443, 1.180000
39, 6.648666, 0.960000, 0.000569, 1.100000
40, 8.236161, 1.100000, 0.000344, 1.200000
41, 1.152821, 1.160000, 0.000319, 0.860000
42, 7.315723, 1.000000, 0.000390, 1.080000
43, 7.399485, 1.100000, 0.000480, 1.200000
44, 10.003480, 1.080000, 0.000496, 1.180000
45, 2.407433, 1.200000, 0.000319, 0.800000
46, 6.578829, 1.180000, 0.000427, 0.840000
47, 10.601289, 1.060000, 0.000474, 1.160000
48, 12.686731, 1.000000, 0.000521, 1.080000
49, 2.351003, 1.200000, 0.000313, 0.980000
50, 10.354183, 1.080000, 0.000449, 1.200000
51, 8.459413, 1.060000, 0.000400, 1.120000
52, 3.098370, 1.160000, 0.000352, 1.200000
53, 14.637028, 1.000000, 0.000674, 1.040000
54, 7.097788, 1.060000, 0.000351, 1.200000
55, 2.621434, 1.200000, 0.000365, 0.840000
56, 6.013966, 1.060000, 0.000515, 1.200000
57, 3.777888, 1.200000, 0.000320, 1.180000
58, 3.667756, 1.200000, 0.000351, 1.180000
59, 8.221085, 1.080000, 0.000530, 1.180000
60, 4.252420, 1.100000, 0.000313, 1.160000
61, 4.128089, 1.120000, 0.000324, 1.140000
62, 5.797082, 1.080000, 0.000450, 1.200000
63, 6.809410, 1.180000, 0.000649, 1.160000
64, 10.651542, 1.000000, 0.000476, 1.100000
65, 4.997499, 1.120000, 0.000343, 1.180000
66, 6.491670, 1.140000, 0.000501, 1.180000
67, 2.488108, 1.180000, 0.000300, 0.920000
68, 3.931191, 1.160000, 0.000492, 1.200000
69, 6.242095, 1.040000, 0.000363, 1.180000
70, 5.275059, 1.180000, 0.000360, 1.200000
71, 6.167883, 1.180000, 0.000330, 1.180000
72, 8.518997, 1.040000, 0.000349, 1.160000
73, 11.787119, 1.160000, 0.000364, 1.200000
74, 6.090157, 1.180000, 0.000361, 1.180000
75, 5.574807, 1.080000, 0.000335, 1.180000
76, 4.875582, 1.200000, 0.000545, 1.080000
77, 5.987963, 1.020000, 0.000500, 1.160000
78, 5.672658, 1.200000, 0.000560, 1.080000
79, 6.470990, 1.040000, 0.000492, 1.200000
80, 8.086645, 1.180000, 0.000492, 1.180000
81, 1.964391, 1.160000, 0.000258, 0.820000
82, 4.422818, 1.200000, 0.000306, 1.200000
83, 7.542970, 1.020000, 0.000433, 1.140000
84, 3.580953, 1.200000, 0.000346, 0.800000
85, 1.394491, 1.180000, 0.000278, 0.920000
86, 5.843527, 1.200000, 0.000353, 1.200000
87, 7.749781, 0.980000, 0.000539, 1.060000
88, 5.630492, 1.160000, 0.000545, 0.840000
89, 2.683340, 1.200000, 0.000316, 0.820000
90, 4.964211, 1.200000, 0.000301, 1.080000
