NV Index, Max Separation, Corresponding Step Value
0, 6.128952, 1.160000
1, 8.675314, 1.060000
2, 8.878258, 1.000000
3, 9.300906, 1.080000
4, 2.316645, 0.940000
5, 6.271191, 1.200000
6, 9.914044, 1.140000
7, 2.657161, 1.200000
8, 10.191759, 1.020000
9, 4.781957, 1.120000
10, 9.102863, 1.000000
11, 12.290670, 1.040000
12, 10.149526, 1.020000
13, 4.561771, 1.080000
14, 7.900219, 1.080000
15, 7.437195, 1.040000
16, 8.829808, 1.100000
17, 7.510002, 1.160000
18, 8.411224, 1.080000
19, 3.369626, 1.200000
20, 8.891098, 1.060000
21, 10.660408, 1.080000
22, 12.008250, 1.040000
23, 5.446004, 1.100000
24, 3.865735, 1.080000
25, 10.685229, 1.000000
26, 8.132990, 1.160000
27, 1.989690, 1.200000
28, 6.955284, 0.960000
29, 7.532848, 1.160000
30, 3.694089, 1.060000
31, 4.092005, 1.160000
32, 6.297562, 1.100000
33, 3.355644, 1.200000
34, 7.690019, 1.180000
35, 11.795577, 1.120000
36, 10.539154, 1.020000
37, 11.555247, 1.020000
38, 11.670002, 1.060000
39, 6.648666, 0.960000
40, 8.236159, 1.100000
41, 1.152821, 1.160000
42, 7.315722, 1.000000
43, 7.399486, 1.100000
44, 10.003478, 1.080000
45, 2.407433, 1.200000
46, 6.578828, 1.180000
47, 10.601293, 1.060000
48, 12.686724, 1.000000
49, 2.351003, 1.200000
50, 10.354185, 1.080000
51, 8.459414, 1.060000
52, 3.098370, 1.160000
53, 14.637029, 1.000000
54, 7.097790, 1.060000
55, 2.621434, 1.200000
56, 6.013966, 1.060000
57, 3.777888, 1.200000
58, 3.667756, 1.200000
59, 8.221086, 1.080000
60, 4.252420, 1.100000
61, 4.128089, 1.120000
62, 5.797064, 1.080000
63, 6.809408, 1.180000
64, 10.651545, 1.000000
65, 4.997499, 1.120000
66, 6.491670, 1.140000
67, 2.488108, 1.180000
68, 3.931190, 1.160000
69, 6.242095, 1.040000
70, 5.275058, 1.180000
71, 6.167880, 1.180000
72, 8.518997, 1.040000
73, 11.787119, 1.160000
74, 6.090157, 1.180000
75, 5.574807, 1.080000
76, 4.875581, 1.200000
77, 5.987963, 1.020000
78, 5.672657, 1.200000
79, 6.470989, 1.040000
80, 8.086644, 1.180000
81, 1.964391, 1.160000
82, 4.422819, 1.200000
83, 7.542970, 1.020000
84, 3.580953, 1.200000
85, 1.394491, 1.180000
86, 5.843527, 1.200000
87, 7.749782, 0.980000
88, 5.630493, 1.160000
89, 2.683340, 1.200000
90, 4.964211, 1.200000
91, 5.601939, 1.200000
92, 10.102080, 1.080000
93, 11.809489, 1.100000
94, 11.236210, 1.020000
95, 11.465706, 1.080000
96, 5.558200, 1.060000
97, 10.674254, 1.100000
98, 9.894709, 1.160000
99, 3.206799, 1.200000
100, 9.479678, 1.040000
101, 11.444381, 1.060000
102, 6.371184, 1.140000
103, 11.239401, 1.080000
104, 6.601597, 1.200000
105, 1.688059, 1.200000
106, 3.454199, 1.200000
107, 7.110036, 1.120000
108, 8.268798, 1.060000
109, 2.172520, 1.200000
110, 8.156201, 1.100000
111, 7.311379, 1.160000
112, 5.147312, 1.120000
113, 7.119701, 1.140000
114, 3.843316, 1.180000
115, 5.802958, 1.200000
116, 3.714634, 1.200000
117, 1.322844, 1.180000
118, 6.904365, 1.120000
119, 5.988108, 1.200000
120, 4.013285, 1.200000
121, 9.458287, 1.140000
122, 6.811589, 1.120000
123, 6.261185, 1.180000
124, 2.286438, 1.200000
125, 8.089152, 1.040000
126, 1.406139, 1.200000
127, 8.163005, 1.200000
128, 5.919128, 1.160000
129, 4.378038, 1.200000
130, 0.642749, 1.200000
131, 4.245065, 1.200000
132, 7.389498, 1.100000
133, 8.505748, 1.160000
134, 3.498305, 1.200000
135, 2.511558, 1.200000
136, 4.595200, 1.180000
137, 3.919106, 1.200000
138, 5.475906, 1.200000
139, 1.226205, 1.200000
140, 9.198832, 1.160000
141, 6.114015, 1.180000
142, 3.883339, 1.200000
143, 4.315817, 1.100000
144, 3.947943, 1.180000
145, 4.542474, 1.200000
146, 9.102233, 1.140000
147, 7.124233, 1.120000
148, 1.005627, 1.160000
149, 2.218114, 1.200000
150, 3.571253, 1.200000
151, 5.992349, 1.200000
152, 7.369810, 1.160000
153, 11.346369, 1.140000
154, 9.299848, 1.200000
155, 1.013899, 1.200000
156, 0.369320, 1.160000
157, 2.487379, 1.200000
158, 5.661042, 1.200000
159, 1.562335, 1.160000
